project,version,configure,build,preprocess_repo,diff_with_other,extract_inc_info,CSA,ClangTidy,CppCheck,analyze,CSA reports,ClangTidy reports,CppCheck reports,files,diff files,changed function,reanalyze function,indirect call,diff but no cf,total cg nodes,total csa analyze time
protocolbuffers/protobuf,2024-12-27_7cf5cc,1.456,144.753,4.627,Skipped,Skipped,570.911,243.85,23.014,837.774,118,3405,17,721,721,0,0,0,0,0,5749.1505
protocolbuffers/protobuf,2024-12-28_dbacaf,1.388,9.415,0.519,0.292,3.413,29.164,16.162,7.041,52.367,7,8,10,174,143,180,20452,12,0,252886,236.8357
protocolbuffers/protobuf,2024-12-31_a2a284,1.372,123.553,6.372,0.69,50.332,76.533,193.035,6.941,276.509,18,343,0,432,294,2279,8374,25,221,4173582,288.4183
protocolbuffers/protobuf,2025-01-04_fb51ac,1.346,133.252,4.032,1.027,9.045,157.286,35.866,1.443,194.595,0,61,0,501,58,3107,5849,1610,0,672380,780.8754
protocolbuffers/protobuf,2025-01-05_ec58a3,1.405,81.193,1.888,0.422,17.817,58.992,63.643,2.494,125.129,3,349,0,259,69,451,1371,190,56,1400285,153.6102
tesseract-ocr/tesseract,2024-11-24_6d7ec8,1.178,28.077,1.413,Skipped,Skipped,90.683,55.865,52,198.548,100,608,246,261,261,0,0,0,0,0,1049.6777
tesseract-ocr/tesseract,2024-12-03_0a9df9,0.977,26.36,1.49,2.052,13.717,53.857,53.703,54.346,161.906,57,26,232,251,234,18559,30637,25,0,934039,498.0523
tesseract-ocr/tesseract,2024-12-20_d95e9f,0.984,24.012,1.414,0.373,16.732,50.523,55.5,45.494,151.517,64,10,222,251,223,1969,4130,5,2,918098,488.7054
tesseract-ocr/tesseract,2024-12-31_014b9d,0.978,27.5,1.426,0.384,16.322,50.387,55.272,44.77,150.429,65,7,222,251,223,3114,5274,4,3,921770,487.4839
tesseract-ocr/tesseract,2025-01-06_f657ec,0.952,26.385,1.371,0.352,6.792,3.428,27.314,29.744,60.486,1,251,91,240,91,21,36,4,71,483707,10.3023
vim/vim,2024-12-19_b2a8df,0.003,36.349,0.416,Skipped,Skipped,82.302,2.729,221.804,306.836,120,334,132,136,136,0,0,0,0,0,1086.3263
vim/vim,2024-12-20_b183f5,0.002,31.733,0.074,0.01,0.056,5.288,0.224,216.688,222.2,5,3,0,6,6,6,49,0,2,2180,10.985
vim/vim,2024-12-20_af0fed,0.001,0.746,0.066,0.007,0.052,5.234,0.233,2.357,7.825,1,1,0,3,3,3,31,0,0,1149,9.2177
vim/vim,2024-12-21_70881b,0.001,0.358,0.057,0.004,0.04,0.828,0.154,0.419,1.401,0,0,0,1,1,1,3,0,0,252,0.8334
vim/vim,2024-12-22_89a107,0.002,5.053,0.402,0.183,0.735,4.914,2.749,34.397,42.06,0,3,107,126,126,11,23,0,122,46168,10.6946
redis/redis,2024-11-12_cf8380,0.002,7.502,0.243,Skipped,Skipped,42.401,1.44,119.135,162.977,82,270,5,104,104,0,0,0,0,0,435.7881
redis/redis,2024-11-21_9ebf80,0.002,4.892,0.191,0.111,0.317,8.274,1.182,0.198,9.654,11,13,0,63,62,152,330,0,49,20283,33.4959
redis/redis,2024-12-03_2af69a,0.001,4.392,0.191,0.107,0.284,8.255,1.755,0.203,11.213,8,5,0,69,69,67,205,0,62,21128,23.9377
