project,version,configure,build,CSA,ClangTidy,CppCheck,analyze,CSA reports,ClangTidy reports,CppCheck reports,files,diff files,changed function,reanalyze function,indirect call,diff but no cf,total cg nodes,total csa analyze time
protocolbuffers/protobuf,2024-12-27_7cf5cc,1.843,163.729,616.111,250.194,20.799,887.104,118,3405,17,721,721,0,0,0,0,0,6255.3347
protocolbuffers/protobuf,2024-12-28_dbacaf,1.493,9.485,36.893,15.922,11.042,63.857,30,1555,13,174,174,0,0,0,0,0,326.2504
protocolbuffers/protobuf,2024-12-31_a2a284,1.44,127.97,535.029,205.979,8.443,749.452,69,2976,4,432,432,0,0,0,0,0,5067.1895
protocolbuffers/protobuf,2025-01-04_fb51ac,1.487,136.737,557.254,228.513,8.856,794.624,82,3006,4,501,501,0,0,0,0,0,5541.0145
protocolbuffers/protobuf,2025-01-05_ec58a3,1.458,86.77,439.002,102.122,4.487,545.61,43,2789,4,259,259,0,0,0,0,0,3871.7275
tesseract-ocr/tesseract,2024-11-24_6d7ec8,1.227,28.235,95.278,61.195,83.472,239.945,101,608,246,261,261,0,0,0,0,0,1122.1622
tesseract-ocr/tesseract,2024-12-03_0a9df9,1.081,25.141,96.809,60.859,52.457,210.125,100,606,239,251,251,0,0,0,0,0,1115.4642
tesseract-ocr/tesseract,2024-12-20_d95e9f,1.047,28.049,97.301,63.152,51.939,212.392,99,582,241,251,251,0,0,0,0,0,1116.6892
tesseract-ocr/tesseract,2024-12-31_014b9d,3.087,25.99,101.175,62.548,54.94,218.663,100,580,241,251,251,0,0,0,0,0,1176.0374
tesseract-ocr/tesseract,2025-01-06_f657ec,1.079,25.828,99.184,62.57,57.269,219.024,98,579,230,240,240,0,0,0,0,0,1134.5859
vim/vim,2024-12-19_b2a8df,0.003,37.814,88.779,3.523,232.472,324.773,120,334,132,136,136,0,0,0,0,0,1182.2812
vim/vim,2024-12-20_b183f5,0.002,32.991,8.04,0.248,224.071,232.359,9,19,0,6,6,0,0,0,0,0,23.0028
vim/vim,2024-12-20_af0fed,0.002,0.841,11.785,0.232,3.474,15.491,1,7,0,3,3,0,0,0,0,0,20.5354
vim/vim,2024-12-21_70881b,0.002,0.369,1.67,0.168,0.577,2.415,0,2,0,1,1,0,0,0,0,0,1.7755
vim/vim,2024-12-22_89a107,0.002,5.274,88.872,2.8,237.326,331.838,114,323,131,126,126,0,0,0,0,0,1157.0224
redis/redis,2024-11-12_cf8380,0.003,10.961,44.342,1.501,120.268,166.111,82,270,5,104,104,0,0,0,0,0,484.2243
redis/redis,2024-11-21_9ebf80,0.002,7.658,28.206,1.362,2.206,31.774,47,159,0,63,63,0,0,0,0,0,344.892
redis/redis,2024-12-03_2af69a,0.002,5.166,29.216,1.32,0.216,30.753,61,218,0,69,69,0,0,0,0,0,387.0902
redis/redis,2024-12-13_f8942f,0.002,4.819,46.615,1.373,119.343,167.331,80,257,4,84,84,0,0,0,0,0,449.0693
redis/redis,2024-12-23_64a40b,0.002,4.845,42.415,1.478,123.129,167.021,80,258,4,87,87,0,0,0,0,0,449.9568
